-3.274,14.142,0
-3.228,14.135,0.4487
-3.1817,14.114,0.89695
-3.135,14.078,1.3443
-3.0882,14.028,1.7903
-3.0411,13.964,2.2345
-2.9938,13.887,2.6764
-2.9464,13.795,3.1157
-2.8989,13.689,3.5518
-2.8514,13.569,3.9843
-2.8039,13.436,4.4128
-2.7565,13.289,4.8369
-2.7091,13.129,5.2561
-2.662,12.956,5.67
-2.615,12.769,6.0782
-2.5683,12.57,6.4803
-2.5218,12.358,6.8759
-2.4757,12.134,7.2645
-2.4299,11.897,7.6458
-2.3845,11.649,8.0194
-2.3395,11.388,8.385
-2.2949,11.116,8.7421
-2.2508,10.834,9.0904
-2.2072,10.54,9.4295
-2.1641,10.235,9.7592
-2.1214,9.9204,10.079
-2.0793,9.5956,10.389
-2.0378,9.2611,10.688
-1.9967,8.9174,10.976
-1.9562,8.5646,11.254
-1.9162,8.2032,11.52
-1.8768,7.8336,11.774
-1.8379,7.4561,12.017
-1.7995,7.0711,12.247
-1.7616,6.6789,12.466
-1.7242,6.2801,12.671
-1.6873,5.8749,12.864
-1.651,5.4637,13.044
-1.6151,5.0471,13.211
-1.5796,4.6254,13.364
-1.5446,4.1991,13.504
-1.5101,3.7685,13.631
-1.476,3.3341,13.743
-1.4423,2.8964,13.842
-1.4091,2.4558,13.927
-1.3762,2.0126,13.998
-1.3437,1.5675,14.055
-1.3116,1.1208,14.098
-1.2799,0.67291,14.126
-1.2485,0.22438,14.14
-1.2174,-0.22438,14.14
-1.1867,-0.67291,14.126
-1.1563,-1.1208,14.098
-1.1261,-1.5675,14.055
-1.0963,-2.0126,13.998
-1.0668,-2.4558,13.927
-1.0375,-2.8964,13.842
-1.0085,-3.3341,13.743
-0.97974,-3.7685,13.631
-0.95123,-4.1991,13.504
-0.92296,-4.6254,13.364
-0.8949,-5.0471,13.211
-0.86707,-5.4637,13.044
-0.83944,-5.8749,12.864
-0.81202,-6.2801,12.671
-0.78479,-6.6789,12.466
-0.75774,-7.0711,12.247
-0.73087,-7.4561,12.017
-0.70417,-7.8336,11.774
-0.67764,-8.2032,11.52
-0.65126,-8.5646,11.254
-0.62504,-8.9174,10.976
-0.59896,-9.2611,10.688
-0.57302,-9.5956,10.389
-0.54721,-9.9204,10.079
-0.52153,-10.235,9.7592
-0.49597,-10.54,9.4295
-0.47053,-10.834,9.0904
-0.44521,-11.116,8.7421
-0.41998,-11.388,8.385
-0.39486,-11.649,8.0194
-0.36984,-11.897,7.6458
-0.34491,-12.134,7.2645
-0.32007,-12.358,6.8759
-0.29532,-12.57,6.4803
-0.27064,-12.769,6.0782
-0.24604,-12.956,5.67
-0.22151,-13.129,5.2561
-0.19705,-13.289,4.8369
-0.17266,-13.436,4.4128
-0.14832,-13.569,3.9843
-0.12404,-13.689,3.5518
-0.099812,-13.795,3.1157
-0.075636,-13.887,2.6764
-0.051505,-13.964,2.2345
-0.027417,-14.028,1.7903
-0.0033681,-14.078,1.3443
-6.2625,-14.114,0.89695
-6.2386,-14.135,0.4487
-6.2146,-14.142,1.7319e-15
0,0,0
